Fecha,Casos Old,Casos,TestAc,Hospitalizados,UCI,Fallecidos,Recuperados,Diferencia casos dia anterior,Diferencia hospitalizados dia anterior,Diferencia UCI dia anterior,Diferencia fallecidos dia anterior,Diferencia recuperados dia anterior,Incremento porcentual de casos respecto al total,Incremento porcentual de fallecidos respecto al total
2020-03-08,467.0,1509.0,0.0,169.0,87.0,28.0,25.0,431.0,23.0,78.0,28.0,25.0,28.562,100.0
2020-03-09,711.0,2273.0,0.0,202.0,117.0,35.0,140.0,764.0,33.0,30.0,7.0,115.0,33.612,20.0
2020-03-10,970.0,3252.0,0.0,486.0,161.0,48.0,188.0,979.0,284.0,44.0,13.0,48.0,30.105,27.083
2020-03-11,1368.0,4395.0,0.0,683.0,217.0,86.0,201.0,1143.0,197.0,56.0,38.0,13.0,26.007,44.186
2020-03-12,1954.0,5866.0,0.0,2243.0,287.0,123.0,200.0,1471.0,1560.0,70.0,37.0,-1.0,25.077,30.081
2020-03-13,2684.0,7586.0,0.0,2596.0,317.0,141.0,544.0,1720.0,353.0,30.0,18.0,344.0,22.673,12.766
2020-03-14,3744.0,9709.0,0.0,3691.0,423.0,292.0,556.0,2123.0,1095.0,106.0,151.0,12.0,21.866,51.712
2020-03-15,4544.0,11437.0,0.0,4169.0,478.0,314.0,575.0,1728.0,478.0,55.0,22.0,19.0,15.109,7.006
2020-03-16,5644.0,13919.0,0.0,5982.0,628.0,496.0,1086.0,2482.0,1813.0,150.0,182.0,511.0,17.832,36.694
2020-03-17,7220.0,17610.0,0.0,6778.0,867.0,590.0,1160.0,3691.0,796.0,239.0,94.0,74.0,20.96,15.932
2020-03-18,9362.0,21645.0,0.0,8898.0,1057.0,765.0,1210.0,4035.0,2120.0,190.0,175.0,50.0,18.642,22.876
2020-03-19,11528.0,26136.0,0.0,10915.0,1297.0,993.0,1542.0,4491.0,2017.0,240.0,228.0,332.0,17.183,22.961
2020-03-20,14490.0,31640.0,0.0,13807.0,1630.0,1326.0,2131.0,5504.0,2892.0,333.0,333.0,589.0,17.396,25.113
2020-03-21,17487.0,36507.0,0.0,16425.0,1816.0,1672.0,2672.0,4867.0,2618.0,186.0,346.0,541.0,13.332,20.694
2020-03-22,20375.0,41128.0,0.0,19577.0,2155.0,2136.0,3140.0,4621.0,3152.0,339.0,464.0,468.0,11.236,21.723
2020-03-23,24850.0,48766.0,0.0,23157.0,2617.0,2707.0,3697.0,7638.0,3580.0,462.0,571.0,557.0,15.663,21.093
2020-03-24,30003.0,57282.0,0.0,26859.0,3155.0,3303.0,5054.0,8516.0,3702.0,538.0,596.0,1357.0,14.867,18.044
2020-03-25,35616.0,66211.0,0.0,30971.0,3481.0,3918.0,6326.0,8929.0,4112.0,326.0,615.0,1272.0,13.486,15.697
2020-03-26,41023.0,75361.0,0.0,35820.0,4023.0,4663.0,8491.0,9150.0,4849.0,542.0,745.0,2165.0,12.142,15.977
2020-03-27,46451.0,83630.0,0.0,40181.0,4353.0,5502.0,10896.0,8269.0,4361.0,330.0,839.0,2405.0,9.888,15.249
2020-03-28,51437.0,90036.0,0.0,42807.0,4662.0,6217.0,13219.0,6406.0,2626.0,309.0,715.0,2323.0,7.115,11.501
2020-03-29,55647.0,95834.0,0.0,45717.0,4926.0,6913.0,14823.0,5798.0,2910.0,264.0,696.0,1604.0,6.05,10.068
2020-03-30,60837.0,103979.0,0.0,48144.0,5233.0,7733.0,16926.0,8145.0,2427.0,307.0,820.0,2103.0,7.833,10.604
2020-03-31,65904.0,111384.0,0.0,51218.0,5517.0,8662.0,20023.0,7405.0,3074.0,284.0,929.0,3097.0,6.648,10.725
2020-04-01,71111.0,118910.0,0.0,53720.0,5722.0,9539.0,23509.0,7526.0,2502.0,205.0,877.0,3486.0,6.329,9.194
2020-04-02,76148.0,126145.0,0.0,55670.0,5919.0,10384.0,26540.0,7235.0,1950.0,197.0,845.0,3031.0,5.735,8.138
2020-04-03,80618.0,132799.0,0.0,57789.0,6077.0,11164.0,30173.0,6654.0,2119.0,158.0,780.0,3633.0,5.011,6.987
2020-04-04,84874.0,138362.0,0.0,58936.0,6362.0,11834.0,33701.0,5563.0,1147.0,285.0,670.0,3528.0,4.021,5.662
2020-04-05,87728.0,141995.0,0.0,60069.0,6443.0,12462.0,35723.0,3633.0,1133.0,81.0,628.0,2022.0,2.559,5.039
2020-04-06,91274.0,147257.0,0.0,60802.0,6526.0,13219.0,38620.0,5262.0,733.0,83.0,757.0,2897.0,3.573,5.727
2020-04-07,95243.0,152813.0,0.0,61500.0,6644.0,13976.0,43091.0,5556.0,698.0,118.0,757.0,4471.0,3.636,5.416
2020-04-08,99308.0,158527.0,0.0,62606.0,6810.0,14757.0,47116.0,5714.0,1106.0,166.0,781.0,4025.0,3.604,5.292
2020-04-09,102729.0,163125.0,0.0,63822.0,6866.0,15399.0,50860.0,4598.0,1216.0,56.0,642.0,3744.0,2.819,4.169
2020-04-10,106291.0,167729.0,0.0,64323.0,6895.0,15899.0,54118.0,4604.0,501.0,29.0,500.0,3258.0,2.745,3.145
2020-04-11,109426.0,171685.0,0.0,69868.0,6914.0,16505.0,57026.0,3956.0,5545.0,19.0,606.0,2908.0,2.304,3.672
2020-04-12,112163.0,174844.0,0.0,71412.0,7147.0,17056.0,59165.0,3159.0,1544.0,233.0,551.0,2139.0,1.807,3.231
2020-04-13,114301.0,178032.0,0.0,71850.0,7177.0,17591.0,61924.0,3188.0,438.0,30.0,535.0,2759.0,1.791,3.041
2020-04-14,117512.0,182530.0,0.0,73013.0,7269.0,18276.0,65682.0,4498.0,1163.0,92.0,685.0,3758.0,2.464,3.748
2020-04-15,103993.0,186284.0,1313.0,73625.0,7367.0,18893.0,69461.0,3754.0,612.0,98.0,617.0,3779.0,2.015,3.266
2020-04-16,97407.0,190194.0,2080.0,74397.0,7335.0,19478.0,72952.0,3910.0,772.0,-32.0,585.0,3491.0,2.056,3.003
2020-04-17,54071.0,193294.0,3867.0,75519.0,7548.0,20043.0,74662.0,3100.0,1122.0,213.0,565.0,1710.0,1.604,2.819
2020-04-18,8185.0,192580.0,9732.0,76070.0,7663.0,20453.0,77357.0,-714.0,551.0,115.0,410.0,2695.0,-0.371,2.005
2020-04-19,8299.0,194783.0,11164.0,76512.0,7693.0,20852.0,80587.0,2203.0,442.0,30.0,399.0,3230.0,1.131,1.913
2020-04-20,8468.0,197706.0,11839.0,77103.0,7700.0,21282.0,82514.0,2923.0,591.0,7.0,430.0,1927.0,1.478,2.02
2020-04-21,8634.0,200009.0,13259.0,77609.0,7695.0,21717.0,85915.0,2303.0,506.0,-5.0,435.0,3401.0,1.151,2.003
2020-04-22,8805.0,202926.0,15066.0,78089.0,7699.0,22157.0,89250.0,2917.0,480.0,4.0,440.0,3335.0,1.437,1.986
2020-04-23,8932.0,205024.0,16455.0,78545.0,7779.0,22524.0,92355.0,2098.0,456.0,80.0,367.0,3105.0,1.023,1.629
2020-04-24,9116.0,207479.0,17862.0,78516.0,7756.0,22902.0,95708.0,2455.0,-29.0,-23.0,378.0,3353.0,1.183,1.651
2020-04-25,9176.0,209122.0,19006.0,80149.0,7763.0,23190.0,98732.0,1643.0,1633.0,7.0,288.0,3024.0,0.786,1.242
2020-04-26,9238.0,210763.0,19970.0,114080.0,10371.0,23521.0,100875.0,1641.0,33931.0,2608.0,331.0,2143.0,0.779,1.407
2020-04-27,9328.0,212201.0,21377.0,114958.0,10436.0,23822.0,102548.0,1438.0,878.0,65.0,301.0,1673.0,0.678,1.264
2020-04-28,9466.0,212891.0,24013.0,115844.0,10720.0,24275.0,108947.0,690.0,886.0,284.0,453.0,6399.0,0.324,1.866
2020-04-29,0.0,214109.0,25918.0,116660.0,10776.0,24543.0,112050.0,1218.0,816.0,56.0,268.0,3103.0,0.569,1.092
2020-04-30,0.0,215450.0,27785.0,117392.0,10860.0,24824.0,114678.0,1341.0,732.0,84.0,281.0,2628.0,0.622,1.132
2020-05-01,0.0,216628.0,29007.0,117948.0,10909.0,25100.0,117248.0,1178.0,556.0,49.0,276.0,2570.0,0.544,1.1
2020-05-02,0.0,217466.0,29656.0,118495.0,10974.0,25264.0,118902.0,838.0,547.0,65.0,164.0,1654.0,0.385,0.649
