,municipio_distrito,fecha_informe,casos_confirmados_totales,tasa_incidencia_acumulada_total,MUNICIPIO,RENTA DISPONIBLE MEDIA,NUMERO HABITANTES,Renta Categorical
0,Madrid-Retiro,2020/04/12 07:00:00,1135.0,1174.56,Madrid-Retiro,51.79,119379.0,Renta Alta
1,Madrid-Salamanca,2020/04/12 07:00:00,1173.0,745.51,Madrid-Salamanca,53.972,146148.0,Renta Alta
2,Madrid-Centro,2020/04/12 07:00:00,800.0,562.47,Madrid-Centro,31.378,134881.0,Renta Media-Alta
3,Madrid-Arganzuela,2020/04/12 07:00:00,1158.0,649.1,Madrid-Arganzuela,40.201,153830.0,Renta Alta
4,Madrid-Chamartín,2020/04/12 07:00:00,1141.0,776.8,Madrid-Chamartín,60.948,145865.0,Renta Alta
5,Madrid-Tetuán,2020/04/12 07:00:00,1589.0,972.0,Madrid-Tetuán,34.7,157937.0,Renta Alta
6,Madrid-Chamberí,2020/04/12 07:00:00,1029.0,693.01,Madrid-Chamberí,48.989,139448.0,Renta Alta
9,Madrid-Latina,2020/04/12 07:00:00,1885.0,755.3,Madrid-Latina,30.156,238154.0,Renta Media-Alta
10,Madrid-Carabanchel,2020/04/12 07:00:00,1859.0,754.41,Madrid-Carabanchel,27.936,253040.0,Renta Media-Alta
11,Madrid-Usera,2020/04/12 07:00:00,1085.0,730.88,Madrid-Usera,25.569000000000003,139501.0,Renta Media-Media
12,Madrid-Puente de Vallecas,2020/04/12 07:00:00,2385.0,932.61,Madrid-Puente de Vallecas,24.688000000000002,234770.0,Renta Media-Media
13,Madrid-San Blas - Canillejas,2020/04/12 07:00:00,1094.0,787.76,Madrid-San Blas - Canillejas,34.494,158166.0,Renta Alta
14,Madrid-Barajas,2020/04/12 07:00:00,340.0,645.39,Madrid-Barajas,46.347,48972.0,Renta Alta
15,Madrid-Moratalaz,2020/04/12 07:00:00,1044.0,795.98,Madrid-Moratalaz,34.753,94609.0,Renta Alta
16,Madrid-Ciudad Lineal,2020/04/12 07:00:00,1630.0,615.89,Madrid-Ciudad Lineal,36.833,216270.0,Renta Alta
17,Madrid-Hortaleza,2020/04/12 07:00:00,1336.0,632.35,Madrid-Hortaleza,47.11,188267.0,Renta Alta
18,Madrid-Villaverde,2020/04/12 07:00:00,1088.0,684.09,Madrid-Villaverde,26.599,148883.0,Renta Media-Alta
19,Madrid-Villa de Vallecas,2020/04/12 07:00:00,999.0,936.89,Madrid-Villa de Vallecas,30.17,110436.0,Renta Media-Alta
20,Madrid-Vicálvaro,2020/04/12 07:00:00,637.0,1209.95,Madrid-Vicálvaro,31.465999999999998,72126.0,Renta Media-Alta
21,Pozuelo de Alarcón,2020/04/12 07:00:00,443.0,501.7,Pozuelo de Alarcón,44.043,84360.0,Renta Alta
22,Alcorcón,2020/04/12 07:00:00,1257.0,718.94,Alcorcón,20.995,170336.0,Renta Media-Baja
23,Navalcarnero,2020/04/12 07:00:00,114.0,403.84,Navalcarnero,20.189,26364.0,Renta Media-Baja
24,San Agustín del Guadalix,2020/04/12 07:00:00,40.0,274.67,San Agustín del Guadalix,30.633000000000003,12953.0,Renta Media-Alta
28,Valdemorillo,2020/04/12 07:00:00,28.0,231.0,Valdemorillo,24.861,12058.0,Renta Media-Media
29,Velilla de San Antonio,2020/04/12 07:00:00,52.0,416.23,Velilla de San Antonio,20.5,12334.0,Renta Media-Baja
30,Villanueva de la Cañada,2020/04/12 07:00:00,70.0,287.07,Villanueva de la Cañada,32.688,18827.0,Renta Alta
31,Villanueva del Pardillo,2020/04/12 07:00:00,59.0,349.34,Villanueva del Pardillo,27.166999999999998,16730.0,Renta Media-Alta
32,Nuevo Baztán,2020/04/12 07:00:00,23.0,346.02,Nuevo Baztán,23.03,5959.0,Renta Media-Media
37,Aranjuez,2020/04/12 07:00:00,369.0,581.73,Aranjuez,20.976,57792.0,Renta Media-Baja
38,Cercedilla,2020/04/12 07:00:00,71.0,948.31,Cercedilla,20.721999999999998,6831.0,Renta Media-Baja
40,Coslada,2020/04/12 07:00:00,637.0,720.56,Coslada,20.386,88847.0,Renta Media-Baja
41,Morata de Tajuña,2020/04/12 07:00:00,83.0,1068.62,Morata de Tajuña,17.993,7452.0,Renta Baja
44,Navas del Rey,2020/04/12 07:00:00,43.0,1460.6,Navas del Rey,17.605999999999998,2640.0,Renta Baja
45,Becerril de la Sierra,2020/04/12 07:00:00,22.0,381.15,Becerril de la Sierra,23.642,5351.0,Renta Media-Media
46,Fuenlabrada,2020/04/12 07:00:00,1205.0,590.64,Fuenlabrada,17.832,195864.0,Renta Baja
47,Pinto,2020/04/12 07:00:00,174.0,327.36,Pinto,20.927,47594.0,Renta Media-Baja
51,Galapagar,2020/04/12 07:00:00,132.0,397.95,Galapagar,25.579,32380.0,Renta Media-Media
52,Griñón,2020/04/12 07:00:00,60.0,519.66,Griñón,22.293000000000003,9928.0,Renta Media-Media
53,Aldea del Fresno,2020/04/12 07:00:00,27.0,895.23,Aldea del Fresno,17.879,2528.0,Renta Baja
57,Ciempozuelos,2020/04/12 07:00:00,139.0,541.57,Ciempozuelos,18.608,23739.0,Renta Media-Baja
59,San Lorenzo de El Escorial,2020/04/12 07:00:00,63.0,355.63,San Lorenzo de El Escorial,24.318,18241.0,Renta Media-Media
60,San Martín de la Vega,2020/04/12 07:00:00,63.0,309.35,San Martín de la Vega,18.410999999999998,19092.0,Renta Media-Baja
61,Móstoles,2020/04/12 07:00:00,1466.0,670.79,Móstoles,19.06,205712.0,Renta Media-Baja
62,Leganés,2020/04/12 07:00:00,2442.0,1240.17,Leganés,19.548,186696.0,Renta Media-Baja
64,Algete,2020/04/12 07:00:00,83.0,373.79,Algete,27.386,20102.0,Renta Media-Alta
65,Mejorada del Campo,2020/04/12 07:00:00,149.0,608.01,Mejorada del Campo,18.533,22763.0,Renta Media-Baja
66,Loeches,2020/04/12 07:00:00,47.0,678.11,Loeches,19.984,8159.0,Renta Media-Baja
67,Parla,2020/04/12 07:00:00,598.0,437.44,Parla,17.772000000000002,125323.0,Renta Baja
72,Soto del Real,2020/04/12 07:00:00,52.0,530.83,Soto del Real,26.491999999999997,8482.0,Renta Media-Media
74,Fuente el Saz de Jarama,2020/04/12 07:00:00,21.0,245.9,Fuente el Saz de Jarama,21.414,6409.0,Renta Media-Media
78,Cobeña,2020/04/12 07:00:00,29.0,388.9,Cobeña,28.180999999999997,6921.0,Renta Media-Alta
81,Guadarrama,2020/04/12 07:00:00,83.0,525.38,Guadarrama,22.3,15547.0,Renta Media-Media
82,San Martín de Valdeiglesias,2020/04/12 07:00:00,53.0,621.41,San Martín de Valdeiglesias,17.371,8516.0,Renta Baja
83,Torrelodones,2020/04/12 07:00:00,101.0,389.45,Torrelodones,33.721,22838.0,Renta Alta
84,Boadilla del Monte,2020/04/12 07:00:00,202.0,382.31,Boadilla del Monte,36.065,47852.0,Renta Alta
86,Tielmes,2020/04/12 07:00:00,28.0,1242.79,Tielmes,16.039,2617.0,Renta Baja
87,San Sebastián de los Reyes,2020/04/12 07:00:00,352.0,383.69,San Sebastián de los Reyes,24.82,83329.0,Renta Media-Media
88,Guadalix de la Sierra,2020/04/12 07:00:00,26.0,435.88,Guadalix de la Sierra,21.118000000000002,6057.0,Renta Media-Baja
89,Humanes de Madrid,2020/04/12 07:00:00,83.0,402.76,Humanes de Madrid,17.593,19404.0,Renta Baja
90,Chinchón,2020/04/12 07:00:00,23.0,445.65,Chinchón,16.925,5447.0,Renta Baja
92,Torrejón de la Calzada,2020/04/12 07:00:00,22.0,255.19,Torrejón de la Calzada,20.897,7739.0,Renta Media-Baja
94,Meco,2020/04/12 07:00:00,116.0,829.64,Meco,21.186,13133.0,Renta Media-Baja
95,Arganda del Rey,2020/04/12 07:00:00,268.0,462.52,Arganda del Rey,19.113,55307.0,Renta Media-Baja
97,Daganzo de Arriba,2020/04/12 07:00:00,36.0,332.29,Daganzo de Arriba,23.326,9841.0,Renta Media-Media
101,Miraflores de la Sierra,2020/04/12 07:00:00,26.0,471.19,Miraflores de la Sierra,22.005,5890.0,Renta Media-Media
102,Paracuellos de Jarama,2020/04/12 07:00:00,62.0,269.46,Paracuellos de Jarama,28.272,21718.0,Renta Media-Alta
104,Collado Villalba,2020/04/12 07:00:00,263.0,379.65,Collado Villalba,21.276,62587.0,Renta Media-Media
105,Colmenarejo,2020/04/12 07:00:00,23.0,284.34,Colmenarejo,23.395,8934.0,Renta Media-Media
107,Sevilla la Nueva,2020/04/12 07:00:00,37.0,371.9,Sevilla la Nueva,21.335,8858.0,Renta Media-Media
109,Brunete,2020/04/12 07:00:00,49.0,433.94,Brunete,23.574,10188.0,Renta Media-Media
110,Villa del Prado,2020/04/12 07:00:00,52.0,788.24,Villa del Prado,16.761,6506.0,Renta Baja
112,Valdemoro,2020/04/12 07:00:00,557.0,729.08,Valdemoro,21.309,72265.0,Renta Media-Media
113,Tres Cantos,2020/04/12 07:00:00,248.0,516.13,Tres Cantos,30.728,42546.0,Renta Media-Alta
