MUNICIPIO|Titulares|NUMERO DECLARACIONES|NUMERO HABITANTES|POSICIONAMIENTO RENTA BRUTA MEDIA NIVEL NACIONAL|POSICIONAMIENTO RENTA BRUTA MEDIA NIVEL AUTONOMICO|RENTA BRUTA MEDIA|RENTA DISPONIBLE MEDIA
 Andalucía|3.979.312|3.197.596|8.402.305|||20.802|17.438
 Almería|316.500|263.914|701.688|||18.935|15.972
 Almería|95.335|80.509|193.351|689|39|22.868|18.837
 Carboneras|3.879|3.051|7.852|1.067|66|20.672|17.294
 Roquetas de Mar|39.781|34.158|91.682|1.085|67|20.582|17.072
 Huércal de Almería|8.887|7.410|16.663|1.124|71|20.386|17.150
 Vera|6.321|5.296|15.018|1.167|73|20.202|16.861
 Macael|2.872|2.151|5.719|1.385|102|19.160|16.094
 Mojácar|2.484|2.153|6.838|1.465|110|18.766|15.823
 Tíjola|1.660|1.302|3.776|1.512|113|18.534|15.841
 Huércal|8.846|7.422|18.374|1.579|123|18.236|15.507
 Olula del Río|3.032|2.312|6.387|1.636|134|18.047|15.389
 Fines|919|693|2.203|1.659|139|17.914|15.305
 Garrucha|3.821|3.120|8.632|1.722|148|17.675|15.121
 Pechina|1.636|1.336|3.849|1.741|152|17.575|15.039
 Viator|2.478|2.022|5.605|1.770|158|17.445|15.113
 Albox|4.965|4.042|11.715|1.774|160|17.431|14.924
 Benahadux|2.093|1.668|4.220|1.810|167|17.289|14.954
 Pulpí|4.404|3.811|8.562|1.857|178|17.073|14.636
 Gádor|1.193|944|3.096|1.891|184|16.933|14.639
 Serón|992|802|2.218|1.895|185|16.922|14.578
 Purchena|720|578|1.662|2.012|208|16.531|14.260
 Gallardos, Los|1.178|969|3.126|2.033|211|16.453|14.175
 Cuevas del Almanzora|6.143|5.110|13.737|2.035|212|16.452|14.211
 Alhama de Almería|1.704|1.350|3.753|2.129|233|16.138|14.156
 Antas|1.558|1.248|3.161|2.155|240|16.037|13.909
 Vélez|3.688|3.052|6.791|2.159|242|16.022|13.940
 Berja|6.663|5.321|15.323|2.181|247|15.898|13.813
 Adra|11.144|8.941|24.782|2.186|248|15.871|13.755
 Cantoria|1.444|1.140|3.617|2.212|254|15.785|13.809
 Dalías|1.925|1.567|3.979|2.215|255|15.774|13.744
 Ejido, El|35.566|29.664|84.144|2.232|258|15.725|13.531
 Vícar|9.773|8.276|24.384|2.234|260|15.716|13.664
 Chirivel|821|706|1.689|2.242|263|15.654|13.747
 Rioja|585|476|1.406|2.305|281|15.384|13.464
 Turre|1.357|1.135|3.563|2.352|296|15.196|13.339
 Níjar|11.441|9.581|28.627|2.371|302|15.132|13.176
 Sorbas|1.149|907|2.689|2.424|319|14.941|13.317
 Zurgena|1.255|1.041|3.129|2.538|357|14.516|12.935
 Mojonera, La|3.394|2.799|8.993|2.632|391|14.171|12.481
 Abla|596|503|1.426|2.651|400|14.111|12.538
 Vélez|1.004|831|2.064|2.740|447|13.691|12.296
 Láujar de Andarax|833|634|1.633|2.764|455|13.556|11.956
 Tabernas|1.509|1.279|3.646|2.769|459|13.538|12.084
 Gérgal|404|344|1.034|2.773|462|13.507|11.987
 Canjáyar|549|457|1.365|2.798|474|13.345|12.024
 Taberno|456|369|1.029|2.810|479|13.278|11.953
 Arboleas|1.558|1.274|4.698|2.821|486|13.212|11.977
 Oria|1.009|823|2.495|2.830|493|13.177|11.789
 Fiñana|1.138|892|2.201|2.845|505|13.077|11.781
 Abrucena|670|547|1.262|2.864|518|12.938|11.735
 Lubrín|779|672|1.607|2.874|522|12.896|11.816
 María|773|631|1.315|2.886|528|12.817|11.587
 Agrupación municipios pequeños|8.116|6.595|21.598|-|-|13.746|12.276
 Cádiz|567.209|438.609|1.240.175|||21.677|18.143
 Algeciras|52.696|40.850|117.974|228|16|26.568|21.502
 Cádiz|61.026|49.590|121.739|277|18|26.010|21.405
 Puerto de Santa María, El|40.721|31.762|88.700|354|19|25.154|20.682
 Barrios, Los|10.722|8.201|22.991|358|20|25.124|20.488
 San Roque|11.941|9.158|29.491|484|24|24.207|19.953
 San Fernando|47.750|35.767|96.335|594|32|23.501|19.753
 Línea de la Concepción, La|22.181|17.148|63.132|647|34|23.137|19.334
 Puerto Real|20.765|15.738|41.486|743|43|22.564|18.877
 Rota|14.863|11.295|29.179|877|50|21.736|18.401
 Jerez de la Frontera|97.182|75.323|212.226|880|51|21.729|18.195
 Chiclana de la Frontera|36.811|27.750|82.298|1.094|68|20.533|17.287
 Tarifa|7.827|6.297|17.908|1.350|96|19.311|16.391
 Conil de la Frontera|9.946|7.548|22.063|1.530|115|18.494|15.597
 Castellar de la Frontera|1.351|1.035|3.084|1.650|136|17.993|15.431
 Sanlúcar de Barrameda|28.983|21.915|67.385|1.799|164|17.337|14.897
 Bosque, El|1.003|813|2.069|1.819|169|17.253|14.687
 Barbate|9.122|6.849|22.861|1.931|191|16.807|14.608
 Ubrique|8.713|6.872|16.884|2.005|207|16.542|14.253
 Villamartín|5.222|4.168|12.303|2.109|225|16.211|14.019
 Alcalá de los Gazules|2.510|1.886|5.377|2.110|226|16.210|14.067
 Jimena de la Frontera|4.345|3.309|9.710|2.123|231|16.159|14.023
 Arcos de la Frontera|13.971|10.604|31.250|2.238|261|15.673|13.698
 Chipiona|7.062|5.355|19.004|2.241|262|15.662|13.663
 Olvera|4.759|3.780|8.351|2.257|270|15.574|13.714
 Medina|5.635|4.235|11.794|2.312|283|15.355|13.475
 Algar|694|540|1.482|2.341|293|15.238|13.397
 Trebujena|3.503|2.904|7.090|2.350|295|15.199|13.414
 Vejer de la Frontera|6.017|4.532|12.897|2.502|345|14.692|12.994
 Setenil de las Bodegas|1.323|1.020|2.856|2.578|371|14.355|12.854
 Zahara|728|589|1.460|2.605|379|14.272|12.804
 San José del Valle|1.919|1.465|4.457|2.649|399|14.115|12.469
 Algodonales|2.804|2.219|5.677|2.657|404|14.079|12.653
 Grazalema|1.140|908|2.165|2.675|415|13.967|12.397
 Espera|1.745|1.362|3.912|2.678|417|13.958|12.394
 Prado del Rey|2.647|2.032|5.885|2.729|440|13.730|12.165
 Paterna de Rivera|2.484|1.806|5.609|2.731|441|13.729|12.214
 Alcalá del Valle|2.579|1.980|5.221|2.735|444|13.700|11.977
 Benalup|3.550|2.776|6.967|2.772|461|13.512|11.936
 Bornos|3.794|2.990|8.022|2.786|469|13.425|11.923
 Gastor, El|1.058|844|1.803|2.927|550|12.265|11.155
 Puerto Serrano|3.248|2.699|7.127|2.960|570|11.070|10.117
 Agrupación municipios pequeños|869|695|1.951|-|-|14.461|12.741
 Córdoba|413.999|331.572|799.402|||19.160|16.212
 Córdoba|170.445|139.088|328.041|548|29|23.774|19.557
 Peñarroya|5.726|4.246|11.430|942|55|21.351|17.791
 Belmez|1.631|1.180|3.227|1.209|78|19.974|16.893
 Pozoblanco|10.167|8.230|17.491|1.365|100|19.255|16.288
 Espiel|1.348|1.038|2.438|1.539|118|18.465|15.860
 Puente Genil|14.198|10.794|30.186|1.669|141|17.881|15.372
 Cabra|10.799|8.662|21.001|1.721|147|17.696|15.160
 Montilla|13.218|10.238|23.622|1.731|150|17.618|15.129
 Obejo|703|567|2.012|1.769|157|17.449|15.122
 Lucena|20.879|16.107|42.748|1.883|183|16.960|14.633
 Fernán|5.377|4.308|9.801|1.940|193|16.784|14.443
 Victoria, La|1.142|924|2.385|1.992|203|16.587|14.505
 Palma del Río|10.015|8.301|21.582|2.064|217|16.352|14.147
 Villafranca de Córdoba|2.536|2.046|4.893|2.075|219|16.324|14.141
 Posadas|3.433|2.747|7.512|2.121|230|16.178|14.040
 Añora|920|757|1.555|2.138|236|16.092|14.029
 Carpio, El|2.496|1.987|4.516|2.210|252|15.786|13.823
 Baena|9.250|7.257|20.207|2.211|253|15.785|13.677
 Rute|5.492|4.358|10.387|2.295|278|15.420|13.483
 Rambla, La|3.817|3.024|7.547|2.300|279|15.400|13.404
 Carlota, La|7.041|5.678|13.872|2.330|288|15.280|13.421
 Almodóvar del Río|3.144|2.506|7.977|2.335|290|15.253|13.370
 Fuente Obejuna|2.497|1.903|4.961|2.353|297|15.190|13.396
 Castro del Río|4.317|3.433|8.052|2.375|304|15.107|13.274
 Dos Torres|1.405|1.077|2.442|2.385|308|15.075|13.269
 Priego de Córdoba|12.963|10.147|23.112|2.388|310|15.069|13.321
 Guadalcázar|786|637|1.604|2.392|311|15.041|13.186
 Torrecampo|628|505|1.202|2.405|314|14.999|13.276
 Villa del Río|3.565|2.771|7.426|2.427|320|14.938|13.091
 Aguilar de la Frontera|7.238|5.667|13.631|2.428|321|14.931|13.040
 Pedro Abad|1.538|1.243|2.960|2.432|322|14.919|13.147
 Alcaracejos|753|614|1.527|2.449|327|14.873|13.179
 Villanueva del Rey|650|490|1.122|2.456|330|14.863|13.193
 Palenciana|714|572|1.571|2.463|332|14.843|13.111
 Montoro|5.319|4.075|9.744|2.489|339|14.742|13.044
 Montemayor|2.166|1.760|4.001|2.501|344|14.696|12.901
 Hinojosa del Duque|4.093|3.037|7.126|2.514|349|14.604|12.830
 Montalbán de Córdoba|2.531|2.099|4.472|2.532|355|14.532|12.833
 Cañete de las Torres|1.638|1.366|3.033|2.540|359|14.512|12.785
 Hornachuelos|2.185|1.817|4.660|2.563|366|14.418|12.704
 Viso, El|1.464|1.192|2.683|2.572|370|14.383|12.868
 Bujalance|4.066|3.385|7.744|2.589|373|14.315|12.648
